name,images,price,url,description
Печь пароконвекционная Tecnodom FEDL04NEMIDVH2O,/images/stories/virtuemart/product/24498b1b-b359-11e9-8144-000c29d6355f_091ee45f-b427-11e9-8144-000c29d6355f.jpg,"57 742,06 грн",https://kproekt.com.ua/katalog-produktsii/teplovoe-oborudovanie/parokonvektomaty/pech-parokonvektsionnaya-tecnodom-fedl04nemidvh2o.html,"Настольная, 4 уровня (расстояние между уровнями 80 мм) под GN1/1 или 600х400, электронная панель управления, таймер, подсветка, 1 вентилятор с реверсом, термощуп, регулировка пара"
Пароконвектомат Apach AP5.23D,/images/stories/virtuemart/product/12651.jpg,"64 225,81 грн",https://kproekt.com.ua/katalog-produktsii/teplovoe-oborudovanie/parokonvektomaty/parokonvektomat-apach-ap5-23d.html,
Пароконвектомат Unox XV 593 ChefLux,/images/stories/virtuemart/product/0271.png,"73 605,18 грн",https://kproekt.com.ua/katalog-produktsii/teplovoe-oborudovanie/parokonvektomaty/parokonvektomat-unox-xv593unox-xv-593-cheflux.html, 
Печь пароконвекционная Tecnodom FEDL10NEMIDVH2O,/images/stories/virtuemart/product/893167f5-b359-11e9-8144-000c29d6355f_ebba4277-b432-11e9-8144-000c29d6355f.jpg,"67 096,77 грн",https://kproekt.com.ua/katalog-produktsii/teplovoe-oborudovanie/parokonvektomaty/pech-parokonvektsionnaya-tecnodom-fedl10nemidvh2o.html,
Пароконвектомат Tecnoekа EKF 423 P,/images/stories/virtuemart/product/Снимок85.jpg,"17 419,35 грн",https://kproekt.com.ua/katalog-produktsii/teplovoe-oborudovanie/parokonvektomaty/testomes-lp-group-lynxr120t-7529-15144-15145-15146-15147-15148-15149-15150-15151-15152-15173-15175-15177-15178-15221-15222-15223.html,"Tecnoeka EKF 423 P — электрический пароконвектомат, на 4 противня 2/3 GN, оснащен электромеханической панелью управления."
Пароконвектомат UNOX XEVC 0311 E1R cheftop mind.maps,/images/stories/virtuemart/product/11593.png,"77 334,97 грн",https://kproekt.com.ua/katalog-produktsii/teplovoe-oborudovanie/parokonvektomaty/parokonvektomat-unox-xevc-0311-e1r-cheftop-mind-maps.html," – гарантирует максимально эффективную работу, даже при полной загрузке. Рабочая камера во всех пароконвектомах UNOX выполнена из нержавеющей стали."
Печь пароконвекционная Tecnodom FEDL05NEMIDVH2O,/images/stories/virtuemart/product/41582c07-b359-11e9-8144-000c29d6355f_db985fff-b42b-11e9-8144-000c29d6355f.jpg,"62 968,24 грн",https://kproekt.com.ua/katalog-produktsii/teplovoe-oborudovanie/parokonvektomaty/pech-parokonvektsionnaya-tecnodom-fedl05nemidvh2o.html,
Печь пароконвекционная Tecnodom FEDL06NEMIDVH2O,/images/stories/virtuemart/product/5812601b-b359-11e9-8144-000c29d6355f_085039b1-b431-11e9-8144-000c29d6355f (1).jpg,"67 468,57 грн",https://kproekt.com.ua/katalog-produktsii/teplovoe-oborudovanie/parokonvektomaty/pech-parokonvektsionnaya-tecnodom-fedl06nemidvh2o.html,
Пароконвектомат Tecnoekа EKF 311 D UD,/images/stories/virtuemart/product/Снимок39.jpg,"41 645,16 грн",https://kproekt.com.ua/katalog-produktsii/teplovoe-oborudovanie/parokonvektomaty/testomes-lp-group-lynxr120t-7529-15144-15145-15146-15147-15148-15149-15150-15151-15152-15173-15175-15177-15178-15221.html,"EKF 311 D UD | Пароконвектомат электро — он разработан для небольших заведений общественного питания, которые желают предложить собственным клиентам готовые блюда или готовить гастрономические изделия быстрого приготовления, пользуясь компактным оборудованием с инновационными функциями."
Пароконвектомат Rauder LP-6,/images/stories/virtuemart/product/571717894_1_644x461_prodam-parokonvektomat-rauder-lp-6-v-nalichii-dnepropetrovsk_rev004-700x700.jpg,"32 981,13 грн",https://kproekt.com.ua/katalog-produktsii/teplovoe-oborudovanie/parokonvektomaty/parokonvektomat-rauder-lp-6.html,Пароконвектомат с увлажнением
Конвекционная печь Unox XB 693  ,/images/stories/virtuemart/product/17428.jpg,"74 996,76 грн",https://kproekt.com.ua/katalog-produktsii/teplovoe-oborudovanie/parokonvektomaty/konvektsionnaya-pech-unox-xb693.html,"Конвекицонная печь Unox XB 693 печь для выпечки BakerLux.Пекарная камера во всех моделях конвекционных кондитерских печей UNOX выполнена из высококачественной нержавеющей стали. Чистка печи облегчается благодаря закругленным углам пекарной камеры и легко снимающимся боковым направляющим. Потоки горячего воздуха благодаря особым высокоскоростным и более мощным вентиляторам равномерно распределяются в пекарной камере, обеспечивая равномерное пропекание продукта на всех противнях, содержащихся в печи, и в каждой точке одного противня.Гарантия 12 месяцев."
Пароконвектомат Tecnoeka EKF 423 M,/images/stories/virtuemart/product/Снимок42.jpg,"24 806,45 грн",https://kproekt.com.ua/katalog-produktsii/teplovoe-oborudovanie/parokonvektomaty/testomes-lp-group-lynxr120t-7529-15144-15145-15146-15147-15148-15149-15150-15151-15152-15173-15175-15177-15178-15221-15222-15223-15224-15225-15226-15227-15228.html,"Tecnoeka EKF 423 M — электрический пароконвектомат, на 4 противня 2/3 GN, оснащен электромеханической панелью управления."
Пароконвектомат Tecnoeka EKF 423 AL,/images/stories/virtuemart/product/Снимок78.jpg,"25 129,03 грн",https://kproekt.com.ua/katalog-produktsii/teplovoe-oborudovanie/parokonvektomaty/testomes-lp-group-lynxr120t-7529-15144-15145-15146-15147-15148-15149-15150-15151-15152-15173-15175-15177-15178-15221-15222-15223-15224-15225-15226-15227-15228-15229-15230.html,"Tecnoeka EKF 423 AL — электрический пароконвектомат, на 4 противня 2/3 GN, оснащен электромеханической панелью управления."
Пароконвектомат Tecnoeka EKF 423 UD,/images/stories/virtuemart/product/Снимок58.jpg,"30 129,03 грн",https://kproekt.com.ua/katalog-produktsii/teplovoe-oborudovanie/parokonvektomaty/testomes-lp-group-lynxr120t-7529-15144-15145-15146-15147-15148-15149-15150-15151-15152-15173-15175-15177-15178-15221-15222-15223-15224-15225-15226-15227-15228-15229-15230-15231.html,"Tecnoeka EKF 423 UD — комбинированый электро пароконвектомат, на 4 противня 2/3 GN, оснащен электромеханической панелью управления."
Пароконвектомат Unox XV 393,/images/stories/virtuemart/product/0168.png,"54 510,95 грн",https://kproekt.com.ua/katalog-produktsii/teplovoe-oborudovanie/parokonvektomaty/parokonvektomat-unox-xv-393.html," для 5-ти гастроёмкостей 1/1 с ручным управлениям. Имеет функцию   пароувлажнения, используется для приготовления различных блюд. Его корпус выполнен с нержавеющей стали.     "
Пароконвектомат Apach AP6M COMPACT,/images/stories/virtuemart/product/a217a7f833-1_resize_400x400.jpg,"75 908,01 грн",https://kproekt.com.ua/katalog-produktsii/teplovoe-oborudovanie/parokonvektomaty/parokonvektomat-apach-ap6m-compact.html,Пароконвектомат електричний з механічним управлінням.
Пароконвектомат Tecnoekа EKF 423 AL P,/images/stories/virtuemart/product/imgonline-com-ua-Resize-uxgbd19O99NdoDcc.jpg,"22 419,35 грн",https://kproekt.com.ua/katalog-produktsii/teplovoe-oborudovanie/parokonvektomaty/testomes-lp-group-lynxr120t-7529-15144-15145-15146-15147-15148-15149-15150-15151-15152-15173-15175-15177-15178-15221-15222-15223-15224.html,"Tecnoeka EKF 423 AL P — электрический парооконвектомат, на 4 противня 2/3 GN, оснащен электромеханической панелью управления."
Пароконвектомат Tecnoekа EKF 423 UP,/images/stories/virtuemart/product/imgonline-com-ua-Resize-xoB4JP26mJnB0.jpg,"21 483,87 грн",https://kproekt.com.ua/katalog-produktsii/teplovoe-oborudovanie/parokonvektomaty/testomes-lp-group-lynxr120t-7529-15144-15145-15146-15147-15148-15149-15150-15151-15152-15173-15175-15177-15178-15221-15222-15223-15224-15225.html,"Tecnoeka EKF 423 UP — электрический пароконвектомат с функцией увлажнения, на 4 противня GN2/3, оснащен электромеханической панелью управления."
Пароконвектомат Tecnoekа EKF 412 AL U,/images/stories/virtuemart/product/Снимок47.jpg,"23 225,81 грн",https://kproekt.com.ua/katalog-produktsii/teplovoe-oborudovanie/parokonvektomaty/testomes-lp-group-lynxr120t-7529-15144-15145-15146-15147-15148-15149-15150-15151-15152-15173-15175-15177-15178-15221-15222.html,"Tecnoeka EKF 412 AL U — электрический пароконвектомат с функцией увлажнения, на 4 противня 1/2 GN, оснащен электромеханической панелью управления."
Пароконвектомат Tecnoeka EKF 423,/images/stories/virtuemart/product/Снимок42.jpg,"22 806,45 грн",https://kproekt.com.ua/katalog-produktsii/teplovoe-oborudovanie/parokonvektomaty/testomes-lp-group-lynxr120t-7529-15144-15145-15146-15147-15148-15149-15150-15151-15152-15173-15175-15177-15178-15221-15222-15223-15224-15225-15226-15227.html,"Tecnoeka EKF 423 — электрический пароконвектомат, на 4 противня 2/3 GN, оснащен электромеханической панелью управления."
Пароконвектомат Tecnoekа EKF 711 UD,/images/stories/virtuemart/product/Снимок76.jpg,"77 419,35 грн",https://kproekt.com.ua/katalog-produktsii/teplovoe-oborudovanie/parokonvektomaty/testomes-lp-group-lynxr120t-7529-15144-15145-15146-15147-15148.html,"Эта печь разработана и спроектирована для кулинарий и ресторанов средних размеров, которые нуждаются в профессиональной печи минимальных габаритных размеров. Запеченная паста, буженина, запеченная рыба, цыплята, а также блюда, требующие деликатного приготовления, такие как дессерты или мясные блюда, нуждающиеся в медленном процессе приготовления. Благодаря функции прямого впрыска воды для парообразования можно персонализировать любой способ приготовления, следуя полету фантазии шеф-повара."
Пароконвектомат Tecnoekа EKF 423 AL UP,/images/stories/virtuemart/product/imgonline-com-ua-Resize-xoB4JP26mJnB01.jpg,"23 580,65 грн",https://kproekt.com.ua/katalog-produktsii/teplovoe-oborudovanie/parokonvektomaty/testomes-lp-group-lynxr120t-7529-15144-15145-15146-15147-15148-15149-15150-15151-15152-15173-15175-15177-15178-15221-15222-15223-15224-15225-15226.html,"Tecnoeka EKF 423 AL UP — электрический пароконвектомат с функцией увлажнения, на 4 противня GN2/3, оснащен электромеханической панелью управления."
Пароконвектомат Tecnoekа EKF 311 UD,/images/stories/virtuemart/product/imgonline-com-ua-Resize-t39p8elBna.jpg,"39 838,71 грн",https://kproekt.com.ua/katalog-produktsii/teplovoe-oborudovanie/parokonvektomaty/testomes-lp-group-lynxr120t-7529-15144-15145-15146-15147-15148-15149-15150-15151-15152-15173-15175-15177-15178.html,"Tecnoeka EKF 311 UD — комбинированный  электро пароконвектомат, на 3 противня 1/1 GN, оснащен электромеханической панелью управления."
Пароконвектомат Tecnoeka EKF 423 U,/images/stories/virtuemart/product/Снимок42.jpg,"24 096,77 грн",https://kproekt.com.ua/katalog-produktsii/teplovoe-oborudovanie/parokonvektomaty/testomes-lp-group-lynxr120t-7529-15144-15145-15146-15147-15148-15149-15150-15151-15152-15173-15175-15177-15178-15221-15222-15223-15224-15225-15226-15227-15228-15229.html,"Tecnoeka EKF 423 U — электрический пароконвектомат с функцией увлажнения, на 4 противня GN2/3, оснащен электромеханической панелью управления."
